2022,5,1,18,42,16,0,19,26,12,38,0
2022,5,1,18,42,30,7,1,9,0,9,1
2022,5,1,18,43,32,1,15,16,4,20,3
2022,5,1,18,46,48,1,13,15,65,80,3
2022,5,1,18,47,42,7,8,12,22,34,3
2022,5,1,19,11,7,3,15,12,32,44,0
2022,5,1,19,19,34,4,23,21,0,21,1
2022,5,1,19,21,6,7,18,18,0,18,1
2022,5,1,19,21,25,2,17,16,0,16,1
2022,5,1,19,36,17,0,4,8,0,8,1
2022,5,1,19,36,49,1,19,19,9,28,3
2022,5,1,19,39,3,0,2,9,0,9,1
2022,5,1,19,39,34,0,13,16,11,27,3
2022,5,1,19,49,37,4,37,28,19,47,0
2022,5,7,11,36,3,3,1132,25,14,39,0
2022,5,7,12,19,12,5,19,18,7,25,3
2022,5,7,12,19,58,5,44,28,14,42,0
2022,5,7,12,23,16,4,35,21,11,32,0
2022,5,7,12,31,3,1,32,18,18,36,0
2022,5,7,18,27,4,7,28,25,9,34,3
2022,5,7,18,27,24,4,13,15,0,15,1
2022,5,7,18,27,54,0,13,14,12,26,3
2022,5,7,18,28,36,7,16,19,10,29,3
2022,5,7,18,29,44,4,12,15,10,26,0
2022,5,7,18,31,34,1,18,16,12,28,0
2022,5,7,18,34,10,3,15,15,6,21,0
2022,5,7,18,46,9,5,8,9,0,9,1
2022,5,7,18,46,26,2,13,13,0,13,1
2022,5,7,18,46,44,6,10,9,6,15,3
2022,5,7,18,50,8,7,20,13,8,22,0
2022,5,7,18,56,18,0,5,9,4,13,0
2022,5,7,19,7,27,5,12,8,7,15,0
2022,5,7,19,7,43,4,6,9,0,9,1
2022,5,7,19,8,5,2,5,9,9,18,0
2022,5,7,19,10,55,3,10,11,6,17,0
2022,5,7,19,18,29,0,8,8,0,8,1
2022,5,7,19,18,59,4,32,17,9,26,0
2022,5,7,19,20,44,3,27,16,6,22,0
2022,5,7,19,23,26,1,0,7,0,7,1
2022,5,7,19,23,34,0,0,5,0,5,1
2022,5,7,19,23,52,1,4,6,8,14,0
2022,5,7,19,24,40,5,27,20,10,30,0
2022,5,7,19,26,2,4,26,16,4,20,0
2022,5,7,19,27,9,7,7,9,4,13,0
2022,5,7,19,28,4,7,0,5,4,9,0
2022,5,7,19,29,24,1,0,6,4,10,0
2022,5,7,21,47,24,5,4,10,0,10,1
2022,5,7,21,51,32,3,34,10,54,63,0
2022,5,8,0,20,17,4,20,10,13,23,3
2022,5,8,0,21,24,0,22,12,12,24,0
2022,5,8,15,20,59,0,0,5,0,5,1
2022,5,8,15,21,7,1,0,5,0,5,1
2022,5,8,15,21,15,5,0,5,0,5,1
2022,5,8,15,21,25,4,0,5,0,5,1
2022,5,8,15,38,44,0,15,8,56,65,0
2022,5,8,15,52,19,1,16,16,0,16,1
2022,5,8,16,40,50,4,8,15,0,15,1
2022,5,8,17,39,21,2,8,8,0,8,1
2022,5,8,17,56,14,1,25,12,0,12,1
2022,5,8,21,2,11,7,0,6,0,6,1
2022,5,8,21,2,31,0,0,5,0,5,1
2022,5,8,21,3,7,3,0,4,0,4,1
2022,5,8,21,3,55,1,0,7,0,7,1
2022,5,8,21,4,27,3,0,5,0,6,1
2022,5,8,21,5,33,7,0,4,0,4,1
2022,5,8,21,10,17,1,18,10,36,46,0
2022,5,8,21,17,11,6,22,14,4,19,0
2022,5,8,21,17,35,2,13,11,0,11,1
2022,5,8,21,18,2,3,13,10,9,19,0
2022,5,8,21,18,38,2,0,5,0,5,1
2022,5,8,21,19,22,2,0,4,0,4,1
2022,5,8,21,33,41,2,3,5,11,16,0
2022,5,8,21,51,25,1,0,5,0,5,1
2022,5,8,21,59,30,6,4,7,4,11,3
2022,5,8,21,59,47,1,3,7,4,11,3
2022,5,8,22,0,26,5,1,5,4,10,3
2022,5,8,22,1,8,4,18,7,28,35,0
2022,5,16,17,23,17,0,20,28,8,35,3
2022,5,16,17,23,28,3,0,4,0,4,1
2022,5,16,17,24,8,5,7,7,16,23,0
2022,5,16,17,24,28,5,5,9,4,13,0
